HCP_ID,Vaccine_Confidence,Recommendation_Intent,Price_Barrier,Access_Barrier,Patient_Demand,Competitor_Pressure,_Cleaning_Duplicate_Issue,Region,Province,Specialty,HCP_Tier,Patient_Potential,Vaccine_X_Relevance,Influence_Score,Target_HCP,MR_Segment
HCP00001,0.6143257942952159,0.8007087152101885,0.7064907156710369,0.2354380492482307,0.4486463033953928,0.84192509643844,False,South,Lam Dong,Gynecology,Tier 3,38.0,0.8509240307655538,0.1338706358660913,0,Barrier Driven
HCP00002,0.6479371001586385,0.750599052861066,0.545376836402311,0.1004782535903089,0.5007062388529099,0.0948767310839961,False,Central,Quang Ngai,Pediatrics,Tier 3,20.0,0.8001792275604421,0.3709414176467612,0,Development Opportunity
HCP00003,0.4536550391170611,0.6811086052151056,0.7677135310676045,0.3191123756192361,0.5925347242196157,0.362559926177856,False,North,Hung Yen,General Practice,Tier 1,181.0,0.8844708362209819,0.9370818339779536,1,Barrier Driven
HCP00004,0.9861870945409428,0.3544726646148338,0.8999531738937941,0.2032084156681265,0.5492897979162134,0.8084270677479483,False,Central,Quang Tri,General Practice,Tier 1,105.0,0.3442458178192505,0.7425315256070678,0,Barrier Driven
HCP00005,0.4195053807750662,0.7434891212989798,0.551444294884036,0.2112697918459385,0.5001998930430276,0.530743561045904,False,South,Binh Duong,Gynecology,Tier 1,186.0,0.7440358450405009,0.4198692882089362,1,Development Opportunity
HCP00006,0.8173647454912301,0.5204826716723004,0.1182799466136141,0.3119680029924599,0.7457372830574392,0.5428056234967639,False,Central,Ha Tinh,General Practice,Tier 1,101.0,0.2614192249218701,0.8888001021546291,0,High Patient Demand
HCP00007,0.2666783492962127,0.5898463179130999,0.2823464009707528,0.439253993461726,0.9965747383284074,0.2399074326415678,False,South,Long An,General Practice,Tier 2,90.0,0.6617502282523344,0.3777207801050686,0,High Patient Demand
HCP00008,0.8016958446415791,0.6059396852315578,0.6592093631290724,0.258555208289194,0.5562397937698113,0.3045976697750081,False,Central,Ha Tinh,Pediatrics,Tier 2,75.0,0.3752659924969008,0.5395249899409948,0,Development Opportunity
HCP00009,0.3606338781505209,0.8144321365781485,0.7010654069090286,0.0381903315580786,0.9371384737208918,0.3130764673714897,False,South,Khanh Hoa,General Practice,Tier 2,54.0,0.707339108923628,0.5907646791264712,0,Barrier Driven
HCP00010,0.8143400004732402,0.8695186184622538,0.3457083891224478,0.2883389435959189,0.4749638723044567,0.5029724465786334,False,Central,Nghe An,Gynecology,Tier 2,82.0,0.8314864316845192,0.5716143825192587,0,Advocate / High Potential
HCP00011,0.8270851665692457,0.6550431906903094,0.7770941447375956,0.123700594696068,0.6413073076658268,0.2234160446105871,False,North,Hung Yen,Family Medicine,Tier 3,43.0,0.7397154946532117,0.9020750550644716,0,Barrier Driven
HCP00012,0.6740037494438161,0.7508147020270217,0.4467419347599146,0.3406953027904136,0.6809389655472022,0.1817363136834454,False,North,Ninh Binh,General Practice,Tier 3,32.0,0.7438859774257451,0.3808995682797192,0,Development Opportunity
HCP00013,0.7797462831932788,0.6183233149425145,0.5932347953084484,0.2073977088354284,0.3526375436180951,0.3281512275535943,False,North,Hung Yen,General Practice,Tier 2,49.0,0.7386437493596794,0.8017893157869764,0,Development Opportunity
HCP00014,0.8292537398730903,0.8457348938227782,0.5971117788974605,0.524761103566553,0.8296547525518653,0.2194547849177394,False,North,Thai Nguyen,Family Medicine,Tier 1,130.0,0.9614035710155542,0.6035795056723062,1,Advocate / High Potential
HCP00015,0.930756858680477,0.5839590418571572,0.2319882025996955,0.3719636980026221,0.6317966360747994,0.4138088321058858,False,Central,Da Nang,General Practice,Tier 3,29.0,0.4620926930456568,0.5162920724292567,0,Development Opportunity
HCP00016,0.4880676293125929,0.4680746001563509,0.2441314131086382,0.403247685194978,0.3407249743905512,0.403074573215382,False,Central,Nghe An,Gynecology,Tier 3,29.0,0.4397114083148669,0.662261461585815,0,Development Opportunity
HCP00017,0.7075316422464657,0.7933407481230689,0.4992575862255615,0.643744816734668,0.6597649091034264,0.5648211134578107,False,Central,Quang Ngai,General Practice,Tier 2,86.0,0.7938921064610475,0.8555483132059463,1,Advocate / High Potential
HCP00018,0.481701195282793,0.8220143764245729,0.3601312850260453,0.5305848730422124,0.8675730067632329,0.7965581576059464,False,Central,Thanh Hoa,Family Medicine,Tier 2,47.0,0.8305042871946167,0.7426782403185472,0,Competitive Pressure
HCP00019,0.3816736235523909,0.667266498894082,0.2914192284130194,0.1723237971714061,0.5292487266914395,0.132626018277096,False,North,Quang Ninh,Gynecology,Tier 2,80.0,0.5534772426234332,0.750397723497384,0,Development Opportunity
HCP00020,0.3986512526997834,0.5867306664125331,0.5247830474979179,0.50310862098849,0.6019751937395055,0.7586208467633265,False,North,Hanoi,General Practice,Tier 1,109.0,0.643164325747161,0.9117035158651156,1,Competitive Pressure
HCP00021,0.7793271794083482,0.5049048627626631,0.5448481025635379,0.4055029451123747,0.7269982823974368,0.2913693973127915,False,South,Binh Duong,Gynecology,Tier 2,79.0,0.6147773965287383,0.8794540476521381,0,High Patient Demand
HCP00022,0.6805142127229346,0.7321269844248637,0.2107166677387213,0.3577971173340067,0.8187989202277449,0.3443016738593216,False,South,Kien Giang,Infectious Disease,Tier 3,41.0,0.6850800021676019,0.8363856848167956,0,High Patient Demand
HCP00023,0.94517985160769,0.6295467491162883,0.2064236103188156,0.7817815399922633,0.5102175962021133,0.1668559719204708,False,North,Quang Ninh,General Practice,Tier 1,130.0,0.7271883475448768,0.7072204092762351,1,Barrier Driven
HCP00024,0.8842944070292021,0.8800496133776903,0.5660874817276441,0.1838945975534671,0.8889078456624042,0.33603063507975,False,South,Ho Chi Minh City,Family Medicine,Tier 2,94.0,0.8684227588822991,0.9417328013858832,1,Advocate / High Potential
HCP00025,0.6770774168230532,0.801147115786598,0.1303264359638762,0.1615091605055892,0.8401068406514907,0.4040899085854624,False,South,Binh Duong,General Practice,Tier 2,61.0,0.8667562791977556,0.37046759614669,0,High Patient Demand
HCP00026,0.4811972495181256,0.7031868571705165,0.4970806041309665,0.5086612719496627,0.3206781517850117,0.8193650918073756,False,Central,Quang Binh,Gynecology,Tier 2,59.0,0.7877270486948265,0.7302110494935132,0,Competitive Pressure
HCP00027,0.8314721902042209,0.791426148027825,0.1649286835723225,0.1606638653622571,0.5747312851712001,0.2012419143212163,False,South,Dong Nai,General Practice,Tier 2,75.0,0.7374601368067171,0.5491735298947913,0,Advocate / High Potential
HCP00028,0.7761149909649987,0.740908622456417,0.7269543410593544,0.425589716828405,0.298765663996362,0.2836468251110727,False,North,Vinh Phuc,Family Medicine,Tier 2,50.0,0.9428188676788176,0.7014799443753631,1,Advocate / High Potential
HCP00029,0.5359669410776775,0.7940264749151194,0.358592449564702,0.1058216914447199,0.4634379759693857,0.4183644024540362,False,South,Ho Chi Minh City,Gynecology,Tier 3,23.0,0.8748823983445468,0.7714395429084026,0,Development Opportunity
HCP00030,0.8121757026216342,0.618730541084429,0.2924224154833418,0.1583872696833755,0.2591924094986098,0.5815162560250726,False,Central,Quang Ngai,Gynecology,Tier 2,94.0,0.6188240197631353,0.4115858224490937,0,Development Opportunity
HCP00031,0.6027234124263281,0.6226939197691614,0.724761976879901,0.2859755953554991,0.3451252172524823,0.2027883349280007,False,North,Ninh Binh,Oncology,Tier 2,91.0,0.6727981063747359,0.8202359420212013,1,Barrier Driven
HCP00032,0.5460136370558599,0.7967090085584104,0.2440615560749335,0.5413601571144502,0.4787599316234099,0.5686592531594609,False,North,Thai Nguyen,General Practice,Tier 3,15.0,0.7304146662403707,0.6326150568421645,0,Development Opportunity
HCP00033,0.4474561238671258,0.7811128252320187,0.6143697686046633,0.3593291764316579,0.5697800207270732,0.3915632211282714,False,Central,Ha Tinh,Gynecology,Tier 2,82.0,0.7311079601440694,0.3125660361719671,0,Development Opportunity
HCP00034,0.3298192357546505,0.7728237110914804,0.921663142280366,0.4854312279226281,0.3509251757840395,0.5062457980321377,False,Central,Quang Binh,Gynecology,Tier 1,172.0,0.8227636704310731,0.845172464262752,1,Barrier Driven
HCP00035,0.7947255768327045,0.7705932391814152,0.4852819885030898,0.2809810887722344,0.5273716150749567,0.2870740860220319,False,Central,Ha Tinh,Pediatrics,Tier 3,31.0,0.7487091167401805,0.8604329467425931,0,Advocate / High Potential
HCP00036,0.3161838348871335,0.8596078099538143,0.6235332633478815,0.3957078088691942,0.4820566543558685,0.6009485547740026,False,North,Bac Ninh,General Practice,Tier 2,57.0,0.7844856152570175,0.1588604570258705,0,Development Opportunity
HCP00037,0.840499047267864,0.6570687143525544,0.0906579006879197,0.3683191278122418,0.3780877990378816,0.4248206558233775,False,South,Dong Nai,Pediatrics,Tier 2,54.0,0.4806215394791583,0.5651002280157419,0,Development Opportunity
