Month_Label,Sales,Units,Level,Growth
2025-01,12810451193.0,3556.0,Total,0.0
2025-02,23361296419.0,6495.0,Total,0.8236123042852141
2025-03,23163211970.0,6432.0,Total,-0.008479171936660812
2025-04,23382471730.0,6504.0,Total,0.009465861655282293
2025-05,23461946970.0,6520.0,Total,0.0033989238142875244
2025-06,27330200253.0,7805.0,Total,0.16487349868901346
2025-07,28258152439.0,8039.0,Total,0.03395336211991862
2025-08,28007148704.0,7991.0,Total,-0.008882524628665456
2025-09,27529426039.0,7887.0,Total,-0.017057168869595518
2025-10,28046674662.0,8012.0,Total,0.018788935965000864
2025-11,28985075360.0,8270.0,Total,0.03345853686075029
2025-12,28622963753.0,8188.0,Total,-0.012493036588744566
2026-01,34658806027.0,9854.0,Total,0.21087411932900824
2026-02,40401509617.0,11459.0,Total,0.16569248189122
2026-03,41119780728.0,11652.0,Total,0.017778323577735122
2026-04,41761962405.0,11869.0,Total,0.015617341961230657
2026-05,42041734240.0,11914.0,Total,0.006699202309671692
2026-06,44083948049.0,12606.0,Total,0.0485758698093135
2026-07,44095021885.0,12591.0,Total,0.0002511988261053588
2026-08,44116180918.0,12620.0,Total,0.00047985083339296963
2025-01,4396636701.0,1226.0,Central,0.0
2025-01,4358466943.0,1209.0,North,0.0
2025-01,4055347549.0,1121.0,South,0.0
2025-02,7891559837.0,2193.0,Central,0.794908329634125
2025-02,7971110257.0,2222.0,North,0.8288793654388398
2025-02,7498626325.0,2080.0,South,0.8490711916538625
2025-03,7714232302.0,2141.0,Central,-0.02247053037202995
2025-03,7912460560.0,2197.0,North,-0.007357782681339242
2025-03,7536519108.0,2094.0,South,0.005053296611629676
2025-04,7966018429.0,2201.0,Central,0.032639168376446426
2025-04,7770670318.0,2174.0,North,-0.017919867141808488
2025-04,7645782983.0,2129.0,South,0.014497923170395222
2025-05,7949820521.0,2205.0,Central,-0.0020333756624303367
2025-05,7862540844.0,2196.0,North,0.011822728573002372
2025-05,7649585605.0,2119.0,South,0.0004973489318824686
2025-06,9438563968.0,2710.0,Central,0.1872675544142639
2025-06,9271663963.0,2636.0,North,0.17921981544621413
2025-06,8619972322.0,2459.0,South,0.12685480849651865
2025-07,9751894896.0,2783.0,Central,0.033196885570972556
2025-07,9488713407.0,2681.0,North,0.023409977417879757
2025-07,9017544136.0,2575.0,South,0.04612216827950966
2025-08,9617979389.0,2755.0,Central,-0.01373225495436059
2025-08,9379338996.0,2660.0,North,-0.011526790441295454
2025-08,9009830319.0,2576.0,South,-0.000855423259776944
2025-09,8976689038.0,2582.0,Central,-0.0666762035000239
2025-09,9537287991.0,2717.0,North,0.016840098760409594
2025-09,9015449010.0,2588.0,South,0.0006236178486238586
2025-10,9087326350.0,2595.0,Central,0.012324957624314736
2025-10,9431259958.0,2699.0,North,-0.011117209955288643
2025-10,9528088354.0,2718.0,South,0.056862319717118526
2025-11,9681928137.0,2765.0,Central,0.06543198341281098
2025-11,9584066196.0,2738.0,North,0.0162021022302945
2025-11,9719081027.0,2767.0,South,0.020045224803128425
2025-12,9476395347.0,2728.0,Central,-0.02122849778388103
2025-12,9604051743.0,2742.0,North,0.0020852889150893006
2025-12,9542516663.0,2718.0,South,-0.01816677559426627
2026-01,11601349719.0,3312.0,Central,0.224236568250892
2026-01,11736173722.0,3338.0,North,0.22200234193386303
2026-01,11321282586.0,3204.0,South,0.1864042773849124
2026-02,13396108062.0,3792.0,Central,0.15470254638222403
2026-02,13597477574.0,3882.0,North,0.15859545845942113
2026-02,13407923981.0,3785.0,South,0.18431139574065214
2026-03,13684616602.0,3863.0,Central,0.021536743258916857
2026-03,13788985655.0,3916.0,North,0.014084088755269342
2026-03,13646178471.0,3873.0,South,0.017769677866433575
2026-04,14074040535.0,3992.0,Central,0.028457058339733443
2026-04,14076018403.0,3997.0,North,0.020816088665370325
2026-04,13611903467.0,3880.0,South,-0.0025116924912597094
2026-05,14305883110.0,4040.0,Central,0.016473064321752107
2026-05,14051387475.0,4000.0,North,-0.0017498505113313634
2026-05,13684463655.0,3874.0,South,0.005330642270268138
2026-06,14932728228.0,4241.0,Central,0.04381729622562247
2026-06,14531109493.0,4182.0,North,0.03414054440200398
2026-06,14620110328.0,4183.0,South,0.06837291519701871
2026-07,14738579839.0,4188.0,Central,-0.013001535019967592
2026-07,14886523971.0,4272.0,North,0.02445886724418478
2026-07,14469918075.0,4131.0,South,-0.010272990396820503
2026-08,14747638281.0,4224.0,Central,0.0006146075197850376
2026-08,14766668771.0,4228.0,North,-0.008051254962776144
2026-08,14601873866.0,4168.0,South,0.0091193184588918
