HCP_ID,HCO_ID,HCO_Type,Province_ID,Province,Region,Specialty,Patient_Potential,Vaccine_X_Relevance,Influence_Score,Digital_Affinity,Target_Score,Target_HCP,_Cleaning_Duplicate_Issue,Sales,Units,Active_Months,Vaccinated_Patients,Period_Vaccine_X_Potential,Uptake_Rate,Sales_Share,Ever_Engaged,Months_Contacted,Last_Contact_Month,Contacted_This_Month,Target_Engaged,Target_Never_Engaged,Monthly_Contact_Flag,Opportunity_Segment,White_Space,Re_Engagement,Conversion_Gap
HCP00001,HCO0979,Vax Center,P22,Lam Dong,South,Gynecology,38.0,0.8509240307655538,0.1338706358660913,0.4791733724604397,0.310755040106588,0,False,90955776.0,26.0,16.0,12.0,646.7022633818209,0.01855567960632767,0.00014318378504766827,1,3,2026-08-01,0,0,0,0,Emerging / Efficient,0,1,0
HCP00002,HCO1224,Vax Center,P19,Quang Ngai,Central,Pediatrics,20.0,0.8001792275604421,0.3709414176467612,0.7885390096777605,0.3262790888345219,0,False,26449911.0,7.0,7.0,3.0,320.07169102417686,0.009372900147465377,4.163779957365167e-05,1,2,2026-08-01,1,0,0,0,Low Priority,0,0,0
HCP00003,HCO0252,Vax Center,P06,Hung Yen,North,General Practice,181.0,0.8844708362209819,0.9370818339779536,0.454418424328436,0.6138687287729964,1,False,252922445.0,74.0,20.0,37.0,3201.7844271199547,0.011556055956359924,0.00039815385664579124,1,2,2026-08-01,1,1,0,1,Untapped Potential,0,0,0
HCP00004,HCO1229,Vax Center,P15,Quang Tri,Central,General Practice,105.0,0.3442458178192505,0.7425315256070678,0.2859018069668604,0.3425207912079294,0,False,111096005.0,34.0,19.0,16.0,722.916217420426,0.022132578595473514,0.00017488879980062706,1,2,2026-08-01,0,0,0,0,Emerging / Efficient,0,1,0
HCP00005,HCO1118,Hospital,P24,Binh Duong,South,Gynecology,186.0,0.7440358450405009,0.4198692882089362,0.7824777991741436,0.4729253518946782,1,False,243587220.0,69.0,19.0,32.0,2767.8133435506634,0.011561473274404082,0.0003834582220357186,1,1,2026-08-01,0,1,0,0,Untapped Potential,0,1,0
HCP00006,HCO1876,Vax Center,P13,Ha Tinh,Central,General Practice,101.0,0.2614192249218701,0.8888001021546291,0.6049334373904012,0.3432228249445239,0,False,67829435.0,20.0,12.0,11.0,528.0668343421776,0.020830696579729153,0.00010677799330682184,0,0,2026-08-01,0,0,0,0,Emerging / Efficient,0,0,0
HCP00007,HCO0836,Vax Center,P27,Long An,South,General Practice,90.0,0.6617502282523344,0.3777207801050686,0.5019583914602592,0.3509210763485659,0,False,84886363.0,25.0,17.0,12.0,1191.150410854202,0.010074294472512936,0.00013362923486321903,0,0,2026-08-01,0,0,0,0,Untapped Potential,0,0,0
HCP00008,HCO1580,Vax Center,P13,Ha Tinh,Central,Pediatrics,75.0,0.3752659924969008,0.5395249899409948,0.7083809498120909,0.2834477587002322,0,False,55085009.0,15.0,12.0,7.0,562.8989887453512,0.01243562369085498,8.671554941167093e-05,1,1,2026-08-01,0,0,0,0,Low Priority,0,1,0
HCP00009,HCO0636,Hospital,P21,Khanh Hoa,South,General Practice,54.0,0.707339108923628,0.5907646791264712,0.568324675411878,0.3738731870209011,0,False,84345561.0,23.0,15.0,14.0,763.9262376375182,0.018326376697435778,0.00013277789720521973,0,0,2026-08-01,0,0,0,0,Emerging / Efficient,0,0,0
HCP00010,HCO1162,Vax Center,P12,Nghe An,Central,Gynecology,82.0,0.8314864316845192,0.5716143825192587,0.4723138781324597,0.4332132504536519,0,False,80685709.0,23.0,15.0,11.0,1363.6377479626115,0.008066658477616154,0.00012701650980224404,0,0,2026-08-01,0,0,0,0,Untapped Potential,0,0,0
HCP00011,HCO1866,Vax Center,P06,Hung Yen,North,Family Medicine,43.0,0.7397154946532117,0.9020750550644716,0.6128557446036421,0.4356629927421912,0,False,108490986.0,32.0,15.0,16.0,636.1553254017621,0.02515109024654513,0.0001707879444515276,1,2,2026-08-01,0,0,0,0,Emerging / Efficient,0,1,0
